obs_ID,study_ID,year_pub,es,var
obs001,Head et al. 2005,2005,-0.269,0.012987013
obs002,Head et al. 2005,2005,0.02,0.012987013
obs003,Head et al. 2005,2005,0.787,0.012987013
obs004,Head et al. 2005,2005,0.162,0.012987013
obs005,Head et al. 2005,2005,-0.1,0.012987013
obs006,Head et al. 2005,2005,-0.033,0.012987013
obs007,Ryder and Siva-Jothy 2001,2001,1.346,0.111111111
obs008,Ryder and Siva-Jothy 2001,2001,1.472,0.111111111
obs009,Collins et al. 1999,1999,-0.46,0.022727273
obs010,Collins et al. 1999,1999,0.03,0.022727273
obs011,Collins et al. 1999,1999,0.31,0.022727273
obs012,Jia et al. 1997,1997,0.083,0.034482759
obs013,Jia et al. 1997,1997,-1.373,0.090909091
obs014,Jia et al. 1997,1997,-0.316,0.111111111
obs015,Jia et al. 1997,1997,0.183,0.023255814
obs016,Jia et al. 1997,1997,-0.074,0.052631579
obs017,Jia et al. 1997,1997,0.031,0.034482759
obs018,Jia et al. 1997,1997,-3.8,0.090909091
obs019,Jia et al. 1997,1997,-0.938,0.090909091
obs020,Jia et al. 1997,1997,-0.553,0.090909091
obs021,Jia et al. 1997,1997,-0.641,0.111111111
obs022,Jia et al. 1997,1997,-0.483,0.111111111
obs023,Jia et al. 1997,1997,-0.353,0.111111111
obs024,Jia et al. 1997,1997,0.406,0.023255814
obs025,Jia et al. 1997,1997,0.557,0.023255814
obs026,Jia et al. 1997,1997,0.653,0.023255814
obs027,Jia et al. 1997,1997,-1.186,0.052631579
obs028,Jia et al. 1997,1997,-1.186,0.052631579
obs029,Jia et al. 1997,1997,-1.186,0.052631579
obs030,Jia et al. 1997,1997,-1.186,0.052631579
obs031,Zhou et al. 2011,2011,0.442,0.047619048
obs032,Zhou et al. 2011,2011,0.188,0.090909091
obs033,Zhou et al. 2011,2011,0.394,0.047619048
obs034,Zhou et al. 2011,2011,0.499,0.090909091
obs035,Zhou et al. 2011,2011,0.096,0.047619048
obs036,Zhou et al. 2011,2011,0.395,0.090909091
obs037,Zhou et al. 2011,2011,0.096,0.047619048
obs038,Zhou et al. 2011,2011,0.334,0.090909091
obs039,Fedorka & Mousseau 2004,2004,0.03,0.022727273
obs040,Fedorka & Mousseau 2004,2004,0.07,0.022727273
obs041,Fedorka & Mousseau 2004,2004,0.01,0.022727273
obs042,Fedorka & Mousseau 2004,2004,0.08,0.022727273
obs043,Fedorka & Mousseau 2004,2004,0.06,0.022727273
obs044,Fedorka & Mousseau 2004,2004,0.172,0.022727273
obs045,Fedorka & Mousseau 2004,2004,0.08,0.022727273
obs046,Fedorka & Mousseau 2004,2004,0.4,0.022727273
obs047,Fedorka & Mousseau 2004,2004,-0.02,0.022727273
obs048,Fedorka & Mousseau 2004,2004,-0.377,0.022727273
obs049,Fedorka & Mousseau 2004,2004,-0.01,0.022727273
obs050,Fedorka & Mousseau 2004,2004,-0.01,0.022727273
obs051,Fedorka & Mousseau 2004,2004,-0.03,0.022727273
obs052,Fedorka & Mousseau 2004,2004,0.02,0.022727273
obs053,Calsbeek & Bonneaud 2008,2008,0.553,0.083333333
obs054,Cox & Calsbeek 2010,2010,0.27,0.05
obs055,Cox & Calsbeek 2010,2010,1.04,0.041666667
obs056,Cox et al. 2011,2011,-0.019,0.041666667
obs057,Cox et al. 2011,2011,0.115,0.05
obs058,Mitchell 1990,1990,0.667,0.058823529
obs059,Hill 1991,1991,3.8,0.333333333
obs060,Chagre et al. 2011,2011,-0.252,0.083333333
obs061,Chagre et al. 2011,2011,-0.326,0.083333333
obs062,Chagre et al. 2011,2011,0.168,0.083333333
obs063,Loyau & Lacroix 2010,2010,0.315,0.142857143
obs064,Loyau & Lacroix 2010,2010,-0.155,0.142857143
obs065,Day et al. 1996,1996,0.282,0.010638298
obs066,Day et al. 1996,1996,0.328,0.012820513
obs067,Day et al. 1996,1996,0.351,0.010309278
obs068,Day et al. 1996,1996,0.389,0.012048193
obs069,Day et al. 1996,1996,0.733,0.007518797
obs070,Wilcockson et al. 1995,1995,0.733,0.007518797
obs071,Wilcockson et al. 1995,1995,0.279,0.007518797
obs072,Kemp & Rutowski 2007,2007,0.24,0.028571429
obs073,Kemp & Rutowski 2007,2007,0.387,0.028571429
obs074,Kemp & Rutowski 2007,2007,0.495,0.028571429
